file,site_id,year,flatline_points,flatline_events
Raw_data_1Hr_2011_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2011,2608,169
Raw_data_1Hr_2012_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2012,1074,64
Raw_data_1Hr_2012_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2012,1392,143
Raw_data_1Hr_2012_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2012,402,50
Raw_data_1Hr_2012_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2012,1880,132
Raw_data_1Hr_2012_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2012,6074,304
Raw_data_1Hr_2012_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2012,4894,408
Raw_data_1Hr_2012_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2012,4412,346
Raw_data_1Hr_2012_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2012,5392,352
Raw_data_1Hr_2012_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2012,1162,98
Raw_data_1Hr_2013_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2013,3692,289
Raw_data_1Hr_2013_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2013,3333,340
Raw_data_1Hr_2013_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2013,874,119
Raw_data_1Hr_2013_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2013,2541,276
Raw_data_1Hr_2013_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2013,3496,302
Raw_data_1Hr_2013_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2013,781,80
Raw_data_1Hr_2013_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2013,1083,85
Raw_data_1Hr_2013_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2013,696,75
Raw_data_1Hr_2013_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2013,833,81
Raw_data_1Hr_2014_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2014,2520,284
Raw_data_1Hr_2014_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2014,4253,412
Raw_data_1Hr_2014_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2014,2248,220
Raw_data_1Hr_2014_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2014,2519,220
Raw_data_1Hr_2014_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2014,1876,169
Raw_data_1Hr_2015_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2015,1575,167
Raw_data_1Hr_2015_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2015,349,30
Raw_data_1Hr_2015_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2015,2850,293
Raw_data_1Hr_2015_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2015,2746,250
Raw_data_1Hr_2015_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2015,2715,290
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,5554,293
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,4408,275
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,4417,300
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,3804,293
Raw_data_1Hr_2016_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2016,2117,155
Raw_data_1Hr_2016_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2016,785,84
Raw_data_1Hr_2016_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2016,2074,232
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,308,22
Raw_data_1Hr_2016_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2016,60,5
Raw_data_1Hr_2016_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2016,45,5
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,5808,406
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,5927,367
Raw_data_1Hr_2016_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2016,5785,347
Raw_data_1Hr_2016_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2016,4773,380
Raw_data_1Hr_2017_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2017,5921,311
Raw_data_1Hr_2017_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2017,8766,251
Raw_data_1Hr_2017_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2017,4811,151
Raw_data_1Hr_2017_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2017,4384,276
Raw_data_1Hr_2017_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2017,5067,157
Raw_data_1Hr_2017_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2017,4847,247
Raw_data_1Hr_2017_site_109_Lodhi_Road_Delhi_IMD_1Hr.csv,109,2017,5044,235
Raw_data_1Hr_2017_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2017,5560,376
Raw_data_1Hr_2017_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2017,2126,155
Raw_data_1Hr_2017_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2017,6574,384
Raw_data_1Hr_2017_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2017,1729,75
Raw_data_1Hr_2017_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2017,4485,231
Raw_data_1Hr_2017_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2017,761,30
Raw_data_1Hr_2017_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2017,5892,570
Raw_data_1Hr_2017_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2017,5669,434
Raw_data_1Hr_2017_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2017,4644,314
Raw_data_1Hr_2017_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2017,3044,230
Raw_data_1Hr_2018_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2018,16239,738
Raw_data_1Hr_2018_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2018,8982,249
Raw_data_1Hr_2018_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2018,12350,355
Raw_data_1Hr_2018_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2018,13473,406
Raw_data_1Hr_2018_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2018,14158,578
Raw_data_1Hr_2018_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2018,13644,845
Raw_data_1Hr_2018_site_109_Lodhi_Road_Delhi_IMD_1Hr.csv,109,2018,12038,616
Raw_data_1Hr_2018_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2018,7436,481
Raw_data_1Hr_2018_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2018,7761,669
Raw_data_1Hr_2018_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2018,12198,555
Raw_data_1Hr_2018_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2018,7209,432
Raw_data_1Hr_2018_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2018,10265,519
Raw_data_1Hr_2018_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2018,8178,549
Raw_data_1Hr_2018_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2018,7206,494
Raw_data_1Hr_2018_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2018,5744,405
Raw_data_1Hr_2018_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2018,6944,427
Raw_data_1Hr_2018_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2018,7653,369
Raw_data_1Hr_2018_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2018,6954,505
Raw_data_1Hr_2018_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2018,6750,507
Raw_data_1Hr_2018_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2018,6677,471
Raw_data_1Hr_2018_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr.csv,1424,2018,7068,453
Raw_data_1Hr_2018_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr.csv,1425,2018,7007,489
Raw_data_1Hr_2018_site_1426_Narela_Delhi_DPCC_1Hr.csv,1426,2018,8499,359
Raw_data_1Hr_2018_site_1427_Najafgarh_Delhi_DPCC_1Hr.csv,1427,2018,10373,643
Raw_data_1Hr_2018_site_1428_Okhla_Phase-2_Delhi_DPCC_1Hr.csv,1428,2018,8254,519
Raw_data_1Hr_2018_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2018,7809,506
Raw_data_1Hr_2018_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2018,7337,439
Raw_data_1Hr_2018_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2018,9759,669
Raw_data_1Hr_2018_site_1432_Sonia_Vihar_Delhi_DPCC_1Hr.csv,1432,2018,9520,670
Raw_data_1Hr_2018_site_1434_Wazirpur_Delhi_DPCC_1Hr.csv,1434,2018,7376,307
Raw_data_1Hr_2018_site_1435_Vivek_Vihar_Delhi_DPCC_1Hr.csv,1435,2018,6986,433
Raw_data_1Hr_2018_site_1560_Bawana_Delhi_DPCC_1Hr.csv,1560,2018,4676,351
Raw_data_1Hr_2018_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2018,4027,199
Raw_data_1Hr_2018_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2018,4392,132
Raw_data_1Hr_2018_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2018,3542,281
Raw_data_1Hr_2018_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2018,2254,243
Raw_data_1Hr_2018_site_5024_Alipur_Delhi_DPCC_1Hr.csv,5024,2018,1540,126
Raw_data_1Hr_2019_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2019,8903,552
Raw_data_1Hr_2019_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2019,9671,368
Raw_data_1Hr_2019_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2019,9144,560
Raw_data_1Hr_2019_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2019,9770,368
Raw_data_1Hr_2019_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2019,13447,487
Raw_data_1Hr_2019_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2019,13756,552
Raw_data_1Hr_2019_site_109_Lodhi_Road_Delhi_IMD_1Hr.csv,109,2019,15095,775
Raw_data_1Hr_2019_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2019,4652,403
Raw_data_1Hr_2019_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2019,8844,655
Raw_data_1Hr_2019_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2019,11655,698
Raw_data_1Hr_2019_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2019,12057,698
Raw_data_1Hr_2019_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2019,11215,611
Raw_data_1Hr_2019_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2019,11551,794
Raw_data_1Hr_2019_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2019,8989,534
Raw_data_1Hr_2019_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2019,6133,434
Raw_data_1Hr_2019_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2019,8365,525
Raw_data_1Hr_2019_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2019,8564,545
Raw_data_1Hr_2019_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2019,7293,655
Raw_data_1Hr_2019_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2019,7695,509
Raw_data_1Hr_2019_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2019,7962,509
Raw_data_1Hr_2019_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr.csv,1424,2019,7790,424
Raw_data_1Hr_2019_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr.csv,1425,2019,9096,574
Raw_data_1Hr_2019_site_1426_Narela_Delhi_DPCC_1Hr.csv,1426,2019,9288,552
Raw_data_1Hr_2019_site_1427_Najafgarh_Delhi_DPCC_1Hr.csv,1427,2019,10268,424
Raw_data_1Hr_2019_site_1428_Okhla_Phase-2_Delhi_DPCC_1Hr.csv,1428,2019,9811,534
Raw_data_1Hr_2019_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2019,7767,432
Raw_data_1Hr_2019_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2019,11383,828
Raw_data_1Hr_2019_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2019,14282,943
Raw_data_1Hr_2019_site_1432_Sonia_Vihar_Delhi_DPCC_1Hr.csv,1432,2019,9833,649
Raw_data_1Hr_2019_site_1434_Wazirpur_Delhi_DPCC_1Hr.csv,1434,2019,8260,459
Raw_data_1Hr_2019_site_1435_Vivek_Vihar_Delhi_DPCC_1Hr.csv,1435,2019,8032,414
Raw_data_1Hr_2019_site_1560_Bawana_Delhi_DPCC_1Hr.csv,1560,2019,9610,745
Raw_data_1Hr_2019_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2019,9410,458
Raw_data_1Hr_2019_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2019,9385,474
Raw_data_1Hr_2019_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2019,7945,561
Raw_data_1Hr_2019_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2019,2658,293
Raw_data_1Hr_2019_site_5024_Alipur_Delhi_DPCC_1Hr.csv,5024,2019,12815,668
Raw_data_1Hr_2020_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2020,9577,440
Raw_data_1Hr_2020_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2020,9580,405
Raw_data_1Hr_2020_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2020,9722,307
Raw_data_1Hr_2020_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2020,12816,366
Raw_data_1Hr_2020_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2020,13637,559
Raw_data_1Hr_2020_site_109_Lodhi_Road_Delhi_IMD_1Hr.csv,109,2020,14467,614
Raw_data_1Hr_2020_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2020,7247,573
Raw_data_1Hr_2020_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2020,9365,716
Raw_data_1Hr_2020_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2020,10869,636
Raw_data_1Hr_2020_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2020,10491,706
Raw_data_1Hr_2020_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2020,14852,914
Raw_data_1Hr_2020_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2020,10870,642
Raw_data_1Hr_2020_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2020,11906,734
Raw_data_1Hr_2020_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2020,7990,508
Raw_data_1Hr_2020_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2020,9647,555
Raw_data_1Hr_2020_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2020,8083,295
Raw_data_1Hr_2020_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2020,9738,747
Raw_data_1Hr_2020_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2020,8386,426
Raw_data_1Hr_2020_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2020,13375,714
Raw_data_1Hr_2020_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr.csv,1424,2020,8268,472
Raw_data_1Hr_2020_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr.csv,1425,2020,10438,545
Raw_data_1Hr_2020_site_1426_Narela_Delhi_DPCC_1Hr.csv,1426,2020,8849,442
Raw_data_1Hr_2020_site_1427_Najafgarh_Delhi_DPCC_1Hr.csv,1427,2020,10274,546
Raw_data_1Hr_2020_site_1428_Okhla_Phase-2_Delhi_DPCC_1Hr.csv,1428,2020,9791,573
Raw_data_1Hr_2020_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2020,9091,589
Raw_data_1Hr_2020_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2020,12300,759
Raw_data_1Hr_2020_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2020,12450,687
Raw_data_1Hr_2020_site_1432_Sonia_Vihar_Delhi_DPCC_1Hr.csv,1432,2020,8890,442
Raw_data_1Hr_2020_site_1434_Wazirpur_Delhi_DPCC_1Hr.csv,1434,2020,8436,549
Raw_data_1Hr_2020_site_1435_Vivek_Vihar_Delhi_DPCC_1Hr.csv,1435,2020,9347,475
Raw_data_1Hr_2020_site_1560_Bawana_Delhi_DPCC_1Hr.csv,1560,2020,13423,824
Raw_data_1Hr_2020_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2020,8438,338
Raw_data_1Hr_2020_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2020,12560,635
Raw_data_1Hr_2020_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2020,6486,405
Raw_data_1Hr_2020_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2020,6313,535
Raw_data_1Hr_2020_site_5024_Alipur_Delhi_DPCC_1Hr.csv,5024,2020,13267,717
Raw_data_1Hr_2020_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2020,1801,124
Raw_data_1Hr_2020_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2020,2518,112
Raw_data_1Hr_2021_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2021,12565,570
Raw_data_1Hr_2021_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2021,3186,2
Raw_data_1Hr_2021_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2021,16880,657
Raw_data_1Hr_2021_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2021,9904,342
Raw_data_1Hr_2021_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2021,9148,274
Raw_data_1Hr_2021_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2021,15646,719
Raw_data_1Hr_2021_site_109_Lodhi_Road_Delhi_IMD_1Hr.csv,109,2021,15599,619
Raw_data_1Hr_2021_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2021,9251,805
Raw_data_1Hr_2021_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2021,7288,637
Raw_data_1Hr_2021_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2021,5780,573
Raw_data_1Hr_2021_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2021,11012,849
Raw_data_1Hr_2021_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2021,12533,780
Raw_data_1Hr_2021_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2021,10660,692
Raw_data_1Hr_2021_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2021,9130,442
Raw_data_1Hr_2021_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2021,7721,566
Raw_data_1Hr_2021_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2021,9027,385
Raw_data_1Hr_2021_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2021,5848,458
Raw_data_1Hr_2021_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2021,8358,626
Raw_data_1Hr_2021_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2021,11829,678
Raw_data_1Hr_2021_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2021,9288,646
Raw_data_1Hr_2021_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr.csv,1424,2021,8051,456
Raw_data_1Hr_2021_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr.csv,1425,2021,12852,905
Raw_data_1Hr_2021_site_1426_Narela_Delhi_DPCC_1Hr.csv,1426,2021,7776,613
Raw_data_1Hr_2021_site_1427_Najafgarh_Delhi_DPCC_1Hr.csv,1427,2021,15429,774
Raw_data_1Hr_2021_site_1428_Okhla_Phase-2_Delhi_DPCC_1Hr.csv,1428,2021,6901,407
Raw_data_1Hr_2021_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2021,5808,452
Raw_data_1Hr_2021_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2021,11695,681
Raw_data_1Hr_2021_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2021,10322,634
Raw_data_1Hr_2021_site_1432_Sonia_Vihar_Delhi_DPCC_1Hr.csv,1432,2021,9090,553
Raw_data_1Hr_2021_site_1434_Wazirpur_Delhi_DPCC_1Hr.csv,1434,2021,9650,522
Raw_data_1Hr_2021_site_1435_Vivek_Vihar_Delhi_DPCC_1Hr.csv,1435,2021,9074,564
Raw_data_1Hr_2021_site_1560_Bawana_Delhi_DPCC_1Hr.csv,1560,2021,13185,1028
Raw_data_1Hr_2021_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2021,8758,498
Raw_data_1Hr_2021_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2021,10391,869
Raw_data_1Hr_2021_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2021,6649,598
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,4903,380
Raw_data_1Hr_2021_site_5024_Alipur_Delhi_DPCC_1Hr.csv,5024,2021,14866,1061
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,17105,1072
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,14083,717
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,14749,877
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,11418,304
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,12281,672
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,10020,520
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,14059,469
Raw_data_1Hr_2022_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2022,14979,675
Raw_data_1Hr_2022_site_109_Lodhi_Road_Delhi_IMD_1Hr.csv,109,2022,15972,648
Raw_data_1Hr_2022_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2022,7181,559
Raw_data_1Hr_2022_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2022,8322,523
Raw_data_1Hr_2022_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2022,9083,569
Raw_data_1Hr_2022_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2022,10215,631
Raw_data_1Hr_2022_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2022,15277,715
Raw_data_1Hr_2022_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2022,16163,1006
Raw_data_1Hr_2022_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2022,7738,386
Raw_data_1Hr_2022_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2022,7746,534
Raw_data_1Hr_2022_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2022,8934,489
Raw_data_1Hr_2022_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2022,9483,597
Raw_data_1Hr_2022_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2022,8796,684
Raw_data_1Hr_2022_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2022,12520,794
Raw_data_1Hr_2022_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2022,7513,571
