file,site_id,year,high_rh_count,low_rh_count,median_pm25_high_rh,median_pm25_low_rh,high_low_ratio,suspected_humidity_bias
Raw_data_1Hr_2019_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2019,1834,4061,112.25,64.75,1.7335907335907337,True
Raw_data_1Hr_2019_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2019,881,5666,129.0,74.0,1.7432432432432432,True
Raw_data_1Hr_2019_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2019,772,4275,114.625,60.5,1.8946280991735538,True
Raw_data_1Hr_2019_site_1432_Sonia_Vihar_Delhi_DPCC_1Hr.csv,1432,2019,1203,4981,113.0,66.5,1.699248120300752,True
Raw_data_1Hr_2019_site_1434_Wazirpur_Delhi_DPCC_1Hr.csv,1434,2019,1356,4297,109.0,82.25,1.325227963525836,False
Raw_data_1Hr_2019_site_1435_Vivek_Vihar_Delhi_DPCC_1Hr.csv,1435,2019,1764,3894,102.75,68.25,1.5054945054945055,True
Raw_data_1Hr_2019_site_1560_Bawana_Delhi_DPCC_1Hr.csv,1560,2019,1544,3725,103.875,73.0,1.422945205479452,False
Raw_data_1Hr_2019_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2019,1901,3747,89.0,71.75,1.240418118466899,False
Raw_data_1Hr_2019_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2019,3445,2999,85.0,52.75,1.6113744075829384,True
Raw_data_1Hr_2019_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2019,2226,3766,93.25,58.0,1.6077586206896552,True
Raw_data_1Hr_2019_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2019,345,5128,262.75,77.125,3.406807131280389,True
Raw_data_1Hr_2019_site_5024_Alipur_Delhi_DPCC_1Hr.csv,5024,2019,2564,3118,84.375,63.0,1.3392857142857142,False
Raw_data_1Hr_2020_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2020,1390,4172,35.435,49.555,0.7150640702250026,False
Raw_data_1Hr_2020_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2020,987,4215,73.75,60.22,1.224676187313185,False
Raw_data_1Hr_2020_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2020,1318,3758,81.495,63.6,1.2813679245283018,False
Raw_data_1Hr_2020_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2020,1326,3326,122.62,57.79,2.121820384149507,True
Raw_data_1Hr_2020_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2020,1071,3581,74.5,55.5,1.3423423423423424,False
Raw_data_1Hr_2020_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2020,531,3818,68.0,52.5,1.2952380952380953,False
Raw_data_1Hr_2020_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2020,254,3945,68.75,46.0,1.4945652173913044,False
Raw_data_1Hr_2020_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2020,786,3183,69.5,60.25,1.1535269709543567,False
Raw_data_1Hr_2020_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2020,555,3929,205.5,56.0,3.669642857142857,True
Raw_data_1Hr_2020_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2020,180,3533,126.25,43.25,2.9190751445086707,True
Raw_data_1Hr_2020_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2020,212,4509,209.25,52.25,4.0047846889952154,True
Raw_data_1Hr_2020_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2020,537,3703,147.75,69.75,2.118279569892473,True
Raw_data_1Hr_2020_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr.csv,1424,2020,525,3796,196.0,44.75,4.379888268156424,True
Raw_data_1Hr_2020_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr.csv,1425,2020,812,3663,129.375,47.75,2.7094240837696337,True
