file,site_id,year,timestamp,pm25,pm10
Raw_data_1Hr_2021_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2021,2021-12-23 10:00:00,694.75,572.0
Raw_data_1Hr_2021_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2021,2021-01-04 23:00:00,41.5,39.0
Raw_data_1Hr_2021_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2021,2021-01-01 12:00:00,736.0,622.0
Raw_data_1Hr_2021_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2021,2021-01-14 12:00:00,505.5,486.0
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-07-14 00:00:00,41.0,32.25
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-07-19 01:00:00,51.0,40.75
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-07-20 21:00:00,18.0,15.5
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-07-28 16:00:00,39.0,37.0
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-09-13 21:00:00,32.0,31.25
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-09-14 06:00:00,31.0,29.5
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-09-19 06:00:00,49.0,36.0
Raw_data_1Hr_2021_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2021,2021-09-21 06:00:00,30.0,25.5
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-01-18 12:00:00,292.4,284.33
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-03-16 23:00:00,69.9,9.0
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-03-17 23:00:00,93.8,34.6
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-06-10 23:00:00,109.5,19.2
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-07-04 23:00:00,50.3,13.4
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-08-29 23:00:00,26.9,26.7
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-09-02 10:00:00,23.3,23.2
Raw_data_1Hr_2021_site_5393_Chandni_Chowk_Delhi_IITM_1Hr.csv,5393,2021,2021-09-16 11:00:00,33.85,28.0
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-02-15 08:00:00,447.23,358.9
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-02-18 09:00:00,787.54,654.1
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-02-19 17:00:00,274.94,257.85
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-06-02 11:00:00,532.17,385.7
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-06-16 11:00:00,335.48,195.25
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-06-18 18:00:00,460.12,245.1
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-06-22 01:00:00,580.46,562.3
Raw_data_1Hr_2021_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2021,2021-11-05 09:00:00,643.28,630.4
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-03 18:00:00,145.88,140.3
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-03 19:00:00,179.43,119.15
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-03 20:00:00,238.56,210.21
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-04 05:00:00,217.82,203.16
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-04 07:00:00,222.38,214.71
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-04 08:00:00,220.18,188.56
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-04 09:00:00,251.16,236.29
Raw_data_1Hr_2022_site_103_CRRI_Mathura_Road_Delhi_IMD_1Hr.csv,103,2022,2022-01-04 12:00:00,97.26,94.6
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-05 15:00:00,94.33,93.28
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-08 05:00:00,44.79,41.04
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-08 06:00:00,40.75,39.7
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-08 22:00:00,26.39,26.19
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-14 08:00:00,54.73,54.48
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-23 03:00:00,57.94,57.67
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-24 05:00:00,83.28,82.51
Raw_data_1Hr_2022_site_104_Burari_Crossing_Delhi_IMD_1Hr.csv,104,2022,2022-01-27 12:00:00,108.22,57.06
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-05 16:00:00,32.25,24.6
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-06 05:00:00,51.05,48.47
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-10 00:00:00,35.95,6.38
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-10 01:00:00,32.45,24.95
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-11 10:00:00,109.91,107.35
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-24 05:00:00,77.53,77.48
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-27 06:00:00,102.35,97.7
Raw_data_1Hr_2022_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2022,2022-01-29 00:00:00,162.03,156.1
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-08 07:00:00,35.2,31.38
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-09 01:00:00,35.28,35.1
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-09 05:00:00,42.49,42.48
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-09 08:00:00,18.79,12.34
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-09 09:00:00,22.76,19.83
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-09 12:00:00,44.33,42.89
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-09 16:00:00,42.69,33.31
Raw_data_1Hr_2022_site_106_IGI_Airport_(T3)_Delhi_IMD_1Hr.csv,106,2022,2022-01-22 23:00:00,76.74,73.56
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 07:00:00,85.52,40.85
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 08:00:00,144.12,109.79
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 09:00:00,119.55,92.5
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 10:00:00,77.38,54.11
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 11:00:00,81.68,68.49
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 12:00:00,129.28,85.61
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-06 13:00:00,96.44,67.09
Raw_data_1Hr_2022_site_107_Pusa_Delhi_IMD_1Hr.csv,107,2022,2022-01-07 14:00:00,115.83,110.84
Raw_data_1Hr_2022_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2022,2022-01-07 09:00:00,49.76,46.59
